title,release,gf_score,metascore,genre,description,cover_art_url
Um Jammer Lammy,1999-07-31,3.86,,Action » Rhythm » Music,"Where Lammy goes, mosh pits follow. She's the guitar-slinging megastar of an all-chick band called MilkCan. Help Lammy make it to her big gig on time by jamming to rock, heavy metal, punk, pop and other killer riffs. You can even take on another player with an awesome two-player mode",https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/UmJammer_Lammy_Coverart.png/220px-UmJammer_Lammy_Coverart.png
Gundam: Battle Assault 2,2002-07-17,3.86,80,Action » Fighting » 2D,"Welcome to a future world where gigantic mobile suits and their human pilots wage a hi-tech winner-take-all war. Your fighting skills will be put to the ultimate test, as you challenge other pilots for the right to be called the best. As Burning Gundam, you're a martial arts specialist in search of your brother. Then as Heero Yuy in Gundam Wing, attempt to destroy Trieze Khushrenada. Finally, use Gundam RX-78 to wage war against the Principality of Zeon. Based on ""Mobile Suit Gundam,"" the hugely popular Japanese anime series, and also seen on TV and available on DVD, Gundam Battle Assault 2 proves once and for all that the bigger they are, the harder they brawl!more »",https://i.ytimg.com/vi/Grxs56FJ_DQ/hqdefault.jpg
Street Fighter Collection 2,1998-10-31,3.86,,Miscellaneous » Compilation,"In a flurry of Super Combos, these monumental releases started a revolution and spawned a generation of arcade warriors. Choose your warrior and battle through 3 classic games in their true arcade form: Street Fighter II: Turbo Hyper Fighting, Street Fighter II: Champion Edition and Street Fighter II: The World Warrior - the original game that started it all..",https://www.mobygames.com/images/covers/l/40517-street-fighter-collection-playstation-back-cover.png
Metal Slug,1997-08-07,3.86,,Action » Shooter » Shoot-'Em-Up » Horizontal,"Players control Marco and Tarma, both members of the special-ops force Team Peregrine Falcon (commonly known as Team PF), and battle their way through stage after stage of intense action. The goal is to try to overthrow General Morden and win back the stolen weapon, the Metal Slug. Players must blast through waves of enemies and machines (while also jumping over any obstacles in the way) to advance through the stages. It's not as hopeless as it might sound, though - weapons such as heavy machine guns, shotguns, rocket launchers and flamethrowers, as well as the Metal Slug itself (which appears frequently in the game), will make the battle easier.more »",https://steamcdn-a.akamaihd.net/steam/apps/366250/ss_2608834e1b86c7ada0996a1326cf60fe39634e52.1920x1080.jpg?t=1483595362
Mega Man X5,2001-02-01,3.86,76,Action » Platformer » 2D,"The year is 21XX and the chaos of the Reploid Wars has passed. Lunar colonization is at its peak. The largest colony, Eurasia, is unexpectedly taken over by an unknown band of galactic terrorists. It's artificial gravity device has been hacked and Eurasia is now on a collision course with Earth. The only way to stop it is to deploy and ancient beam cannon, Codename: Enigma. Join Mega Man X and his pal, Zero as they race against time to collect the necessary parts to restart Enigma, prevent total annihilation and save life on Earth! more »",https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Mmx5box.jpg/220px-Mmx5box.jpg
R-Type Delta,1999-07-31,3.85,,Action » Shooter » Shoot-'Em-Up » Horizontal,"R-Type Delta, the next chapter in the Legendary series, is here. Hordes of enemies, fiendishly tough bosses, new weapons, new ships and all new 3-D graphics. The deadly Bydo are back so load up your weapons and gear up for the most intense arcade action ever.",https://upload.wikimedia.org/wikipedia/en/thumb/8/85/R-Type_Delta_%28cover%29.jpg/220px-R-Type_Delta_%28cover%29.jpg
Command & Conquer: Red Alert - Retaliation,1998-08-28,3.85,,Miscellaneous » Compilation,"The official Red Alert stand-alone companion set containing all Counterstrike and The Aftermath missions The rumors of new Red Alert missions are true! Intelligence sources confirm that Retaliation delivers clandestine activity, forbidden weapons and disavowed tactics in a no-holds-barred battle for supremacy. Now, you must decide the ultimate fate of the conflict between the Allies and Soviets.",https://images.launchbox-app.com/e12748e1-06d0-4531-8845-08dc95d72f7f.jpg
Omega Boost,1999-08-31,3.85,,Action » Shooter » Third-Person » Arcade,Pilot Omega Boost back through time in a quest to destroy the creation of a computer virus that threatens the existence of mankind.,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Omega_Boost_Coverart.png/220px-Omega_Boost_Coverart.png
Bust-A-Move 4,1998-10-31,3.85,,Puzzle » Matching,"You'll be Forever Bursting Bubbles! Bust-A-Move-4 is bursting onto the scene with more advanced gameplay, and tons of new features. It's a challenge for the whole family! * Bury opponents with the devastating new Chain Reactions. * Keep the bubbles in balance with the new Pulley Mechanism. * Rank yourself with the comprehensive Ranking System. * Save custom puzzles to Memory Cards with Edit Mode.",https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Puzzle_Bobble_4.jpg/220px-Puzzle_Bobble_4.jpg
Shadow Tower,1999-10-31,3.85,,Role-Playing » Western-Style,"An Ancient Tragedy... A Dark Power... An Ominous Quest... The dark shadow of the single-eyed crown reigned over the Holy Land of Zepter. The sealed, once-proud tower protecting the crown and the Demon King is about to disappear into the earth, taking what remains of the town with it.",https://upload.wikimedia.org/wikipedia/en/7/70/Shadow_tower_box.jpg
Hogs of War,2000-09-05,3.85,,Strategy » Turn-Based » Artillery,"Hogs are at war. We need your help! Join the fight in a fast, furious, hilarious action game featuring combat savvy pigs battling snout to snout in a 3D world. Plan your attack and make bacon out of your enemies on land, at sea, and in the air... - Tackle 25 fast paced, frenetic missions in the single player campaign",https://www.mobygames.com/images/covers/l/97042-hogs-of-war-playstation-front-cover.jpg
Bust A Groove,1998-10-31,3.84,,Action » Rhythm » Dancing,Boogie to a different beat with Bust A Groove - the most realistic dance game ever created for the funked-up PlayStation generation! Compete in a dance-off against a friend or break out a fresh solo number with one of 10 motion-captured professional dancers. Combo and attack moves show you style as you kick a funky rhythm in one if four groovin' dance modes. Join the party and get your body movin' to the original tunes and gameplay of Bust A Groove,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Bust_a_Groove_cover.jpg/220px-Bust_a_Groove_cover.jpg
Persona 2: Eternal Punishment,2000-12-22,3.84,83,Role-Playing » Japanese-Style,"Welcome back to the twisted world of Persona, where nightmares become reality and reality becomes a nightmare... Over 50 hours of dark twisted gameplay, plus stunning anime cinematics that absorb you into the intriguing world of Persona! Enlist the help of the nightmarish denizens of Persona through the use of the unique ""Contact System!"" Unleash total devastation by combining over 80 Persona to defeat the minions of evil.",https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Persona_2_EP_cover.jpg/220px-Persona_2_EP_cover.jpg
Rage Racer,1997-04-30,3.84,,Racing » Arcade » Automobile,"Rage Racer shatters the standards of PlayStation racing and has industry insiders scurrying to their Thesaurus' for new speed descriptors. This is a whole new engine, chassis and shocks; shocks coming, of course, ast the expense of your central nervous system. But enough hype. You've go to play this bad-boy to believe it. Then you'll see why Game Fan insists, ""you must obtain Rage Racer as soon as humanly possible.""",https://www.mobygames.com/images/covers/l/417395-rage-racer-playstation-front-cover.jpg
Rage Racer,1997-04-30,3.83,,Racing » Arcade » Automobile,"Rage Racer shatters the standards of PlayStation racing and has industry insiders scurrying to their Thesaurus' for new speed descriptors. This is a whole new engine, chassis and shocks; shocks coming, of course, ast the expense of your central nervous system. But enough hype. You've go to play this bad-boy to believe it. Then you'll see why Game Fan insists, ""you must obtain Rage Racer as soon as humanly possible.""",https://www.mobygames.com/images/covers/l/417395-rage-racer-playstation-front-cover.jpg
Tomb Raider II,1905-06-19,3.83,85,Action Adventure » Linear,"The unstoppable Lara Croft is back in TRII, complete with the classic gameplay that made Tomb Raider the game of the year! Join Lara in her quest for the Dagger of Xian, reputed to possess the power of the dragon. But beware, Lara is not the only one in search of danger! Warrior Monks and crazed cult members plot against you as you travel from the remote mountain peaks of Tibet, the canals of Venice and even to the bottom of the sea.",https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Tomb_Raider_II.png/220px-Tomb_Raider_II.png
G Darius,1998-03-31,3.83,,Action » Shooter » Shoot-'Em-Up » Horizontal,"""...G. Darius is the best U.S. 32-Bit shooter to date."" -EGM Destined to be the definitive shooter for the PlayStaion game console, G. Darius is a worthy successor to the proud Darius heritage of arcade shooters. BATTLE 28 HUGE BOSSES CHOOSE YOUR PATH - 5 DIFFERENT ENDINGS MULTIPLE WEAPONS AND POWER-UPS CONQUER 15 ENORMOUS LEVELS ""The game is truly revolutionary..."" -EGM ""...a spectacular shooter..."" -Official PlayStation Magazine",https://www.mobygames.com/images/covers/l/82438-g-darius-playstation-front-cover.jpg
Rayman 2: The Great Escape,2000-08-31,3.83,,Action » Platformer » 3D,"Fly rockets, ride whirlwinds and surf lava flows at a blazing 60 frames per second. Master Rayman's amazing moves and battle vicious enemies across 54 massive levels in 21 lush worlds to save the universe from destruction.",https://www.mobygames.com/images/covers/l/8010-rayman-2-the-great-escape-windows-front-cover.jpg
Descent,1996-03-12,3.83,,Action » Shooter » First-Person » Arcade,"Welcome to Descent™ - 30 levels of the most mind-bending, stomach-churning action game ever. Featuring true 3-Dimensional worlds with light source shading, texture mapping, 3-D morphing, directional sound effects and sizzling music, this is technology taken to the limit. You begin deep below the surface of Lunar Base I where on unknown alien race has taken over the chasm of the Post-Terran Mining Corporation. Lunge straight down mine",https://m.media-amazon.com/images/M/MV5BMzZhZTEzMzEtOWU4Ni00YjI1LTljMGYtZmZkMThjZjMxYzg5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
Darkstalkers 3,1998-11-30,3.83,,Action » Fighting » 2D,"When the sun sets and humanity retreats to the imagined safety of their beds, a mysterious entity appears in the night sky to assemble the wicked and the evil. The secret power of the dark is unleashed. Eighteen supernatural creatures of myth and legend now materialize to wage their eternal war for domination of the night. Beware meager mortals, as the Darkstalkers arrive, the fate of all humanity rests on who wins this epic struggle.",https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Darkstalkers_3_cover.jpg/220px-Darkstalkers_3_cover.jpg
Syphon Filter 3,2001-11-06,3.83,73,Action » Shooter » Third-Person » Arcade,"AGENCY MISSION BRIEFING WANTED Stop Gabe Logan! -Agency Director - Operates with classified weapons such as an X-ray gun, explosive round shotguns, nightvision rifle, laser and proximity mines. - Currently located within 19 intense, international environments as he attempts to save the world from viral",https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Syphon_Filter_3.jpg/220px-Syphon_Filter_3.jpg
Worms Armageddon,1999-11-30,3.82,,Strategy » Turn-Based » Artillery,Those intrepid invertebrates return with a vengeance in the much-loved Worms Armageddon. Its a whole new can of worms! Its hilarious fun that you can enjoy on your own or with all your friends.,https://upload.wikimedia.org/wikipedia/en/e/e5/Wa-win-cover.jpg
Tomb Raider,1996-11-15,3.82,91,Action Adventure » Linear,"Climb, swim, and backflip your way through a maze of cryptic deathtraps so realistic you can practically smell the decaying flesh. Unload an arsenal of lethal firepower on any wild-dog, giant lizard or blood-thirsty mercenary that gets in your way. Your mission is the deadliest one to date -- the recovery of the fabled Scion, an incredible treasure reputed to give its possessor vast power. Get ready to cross the globe to take",http://www.movienewsletters.net/photos/235009R1.jpg
Diablo,1998-03-01,3.82,,Role-Playing » Action RPG,"Diablo invites you to enter a world of dark gothic fantasy. Play as a brave warrior, cunning rogue, or mysterious sorcerer. As you venture deeper into the labyrinth, you'll discover weapons, armor, and magical treasures; you will also develop your character's skills and abilities. You might want to bring a friend or two to help--built-in support for Battle.net, as well as modem, serial, and network play, ensures that you'll never have to go in alone.",https://pmcvariety.files.wordpress.com/2018/08/diablo-3-necromancer.png?w=1000&h=563&crop=1
The King of Fighters '97,1998-05-28,3.82,,Action » Fighting » 2D,"The King of Fighters 1997 begins! 29 characters to choose from! In addition to 2 new teams and 7 returning teams, 2 new characters can be found in the Edit Mode. Virtually unlimited choice in an impressive selection of 3,654 team edit combinations. Includes 2 types of playing modes. Which one can you handle - the aggressive Advanced Mode or the simple Extra Mode?",https://upload.wikimedia.org/wikipedia/en/4/44/Kof97_cover.jpg
Vigilante 8: 2nd Offense,1999-11-18,3.82,,Simulation » Vehicle » Combat,The Future of Blowing $#!% Up is Here! 18 All-New '70's and Futuristic Vehicles. 8 New Destructible Arenas with Hidden Power-Ups. Earn Points to Upgrade Your Vehicle. Blast Through Insane 1-4 Player Action.,https://www.mobygames.com/images/covers/l/7169-vigilante-8-2nd-offense-playstation-front-cover.jpg
Team Buddies,2000-09-18,3.82,,Action » General,"I'M THE GUV'NOR ROUND HERE!!! You touch my base - you're dead! You steal my guns - you're dead! You mess wiv my mates - you're dead. ...in fact, you're gonna have to work pretty hard just to stay alive, cos any way you look at it, you're DEAD!",https://blimeyboyo.files.wordpress.com/2015/04/team-buddies-cover.jpg
Crash Bandicoot,1996-08-31,3.82,,Action » Platformer » 3D,"Enter the vivid 3D world of Crash Bandicoot, a marsupial on a mission! His brain's been scrambled, his girlfriend is held captive, and his arch nemesis has a big N on his forehead! And you thought you had it tough!",https://upload.wikimedia.org/wikipedia/en/4/44/Crash_Bandicoot_Cover.png
Discworld II: Mortality Bytes!,1997-09-24,3.82,,Adventure » Point-and-Click,"In this second incredible Discworld adventure, Death has gone missing and a hero is needed to bring him back. But there's only Rincewind, incompetent wizard and highly-trained coward. You won't catch Rincewind running away. He's too fast. Unfortunately, he's all there is that stands between people and the horrible prospect of immortality.",https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Discworld_2_cover.jpg/220px-Discworld_2_cover.jpg
Point Blank,1998-04-30,3.81,,Action » Shooter » Light Gun,"You'll love the hilarious shooting frenzy of Point Blank! Over 70 completely different wild-and-crazy shooting scenarios will have you laughing so hard, you might not be able to aim straight!",http://www.movies.ie/wp-content/uploads/2018/06/pointblank.jpg
Azure Dreams,1998-06-30,3.81,,Role-Playing » Roguelike,"Take the role of apprentice monster tamer in Azure Dreams, a role playing game like no other. Includes a flexible story system, random tower map generator, exploration, nurturing and management features that enable you to decide the outcome. Enter the Dream now.",https://images.fr.shopping.rakuten.com/photo/Azure-Dreams-Jeu-Playstation-658772_L.jpg
Rapid Reload,1995-09-01,3.81,,Action » Shooter » Shoot-'Em-Up » Vertical,"Load up: High-velocity, Self-Targeting, Incinerator or Riot Control - it's the last word in close-combat shoot'em ups.",https://www.mobygames.com/images/covers/l/42637-rapid-reload-playstation-front-cover.jpg
Jojo's Bizarre Adventure,2000-03-31,3.81,,Action » Fighting » 2D,THE ARCADE FANTASY FIGHTER FROM THE INCREDIBLE COMIC BOOK SERIES! UNLEASH YOUR CHARACTER'S INNER PERSONA IN THE FAMOUS STAND ATTACK EXPERIENCE SUPER STORY MODE LOADED WITH MINI-GAMES AND OTHER DANGEROUS QUESTS CLASSIC COMIC BOOK STYLE ANIMATION COMBINED WITH CAPCOM'S SIGNATURE GAMEPLAY,https://img1.ak.crunchyroll.com/i/spire3/04b29833ccaaf2ee6bda1d08f2f02ecf1539039197_full.jpg
Street Fighter Alpha: Warriors' Dreams,1995-12-21,3.81,,Action » Fighting » 2D,"Intense. Brutal. Combat. The world has never encountered such a powerful collection of fighters in one tournament. Until now... Armed with an arsenal of new moves, super combos and deadly secrets, the legendary Street Fighters collide with a lethal new combination of fierce opponents.",https://www.mobygames.com/images/covers/l/272932-street-fighter-alpha-warriors-dreams-playstation-front-cover.jpg
SaGa Frontier,1998-03-31,3.81,,Role-Playing » Japanese-Style,"Two great arcade faves hit home... right where it hurts! When aliens invade Earth, you fly an awesome experimental plane into fierce battles to save the world. It's the ULTIMATE airborne ""dodge 'n destroy"" challenge. You'll probably end up in traction!",https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/SaGa_Frontier_US_box_art.jpg/220px-SaGa_Frontier_US_box_art.jpg
The Raiden Project,1995-09-25,3.81,,Miscellaneous » Compilation,"Two great arcade faves hit home... right where it hurts! When aliens invade Earth, you fly an awesome experimental plane into fierce battles to save the world. It's the ULTIMATE airborne ""dodge 'n destroy"" challenge. You'll probably end up in traction!",https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/The_Raiden_Project_Coverart.png/220px-The_Raiden_Project_Coverart.png
Castlevania Chronicles,2001-10-08,3.8,,Action » Platformer » 2D,"Count Dracula has been resurrected to begin a new reign of terror across the land. As Simon Belmont, descendant of legendary vampire hunters, you enter Dracula's estate to face the Count and his minions - alone. Be prepared for one of the first adventures in the Castlevania series ever!",https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Castlevania_chronicles_na.jpg/220px-Castlevania_chronicles_na.jpg
Silhouette Mirage,1999-12-31,3.8,,Action » Platformer » 2D,"In an apocalyptic future, the Edo computer has gone beserk, dividing the world's inhabitants into two mutant classes. Silhouette and Mirage. Now, the watchguard computer safety system has sent forth the Messenger of Justice to travel to Edo and repair the damage before the world is lost forever. As the Messenger, Shyna Nera Shyna, blast, beat, and bash your way through seven wild and bizarre stages using friendly parasite weapons to aid your",https://www.mobygames.com/images/covers/l/67062-silhouette-mirage-playstation-front-cover.jpg
Elemental Gearbolt,1998-06-30,3.8,,Action » Shooter » Light Gun,"In a fantastic world divided by class and race, technology from a mysterious source has imbued a young prince with the key to unimaginable power. By means of a Neural Network Computer fueled by the grey matter of unfortunate 'volunteers', he plans to conquer the known world, replacing it with a new order of his design. The only fly in the ointment is disturbing reports of two powerful Elementals storming across the land on a direct course toward the palace.",https://vignette.wikia.nocookie.net/shikigaminoshiro/images/c/c4/ElementalGearbolt.jpg/revision/latest?cb=20160329005133
Zanac X Zanac,2012-12-04,3.8,,Action » Shooter » Shoot-'Em-Up » Vertical,"Zanac X Zanac is an Action game, developed and published by Compile, which was released in Japan in 2001",http://104.236.151.57/wp-content/uploads/2018/02/zanacxzanac-10.png
Marvel Super Heroes vs. Street Fighter,1999-02-23,3.8,,Action » Fighting » 2D,Now you can choose your favorite heroes from the worlds of Street Fighter and Marvel Super Heroes to face off in a head-to-head battle for supremacy. Dive into the action to perform outrageous moves and link together amazing Chain Combos... then delight in their devastating results! Marvel Super Heroes vs. Street Fighter combines two incredible,https://slickanthology.files.wordpress.com/2013/02/marvel-super-heroes-vs-street-fighter-cover.jpg
Vandal Hearts II,1999-11-30,3.8,,Strategy » Turn-Based » Tactics,"Aided by the power of a sacred sword, Nirbath led the blessed. The last of its powers need, the sword shattered into a thousand pieces, each of which is said to have become the first of every weapon known to mankind",https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Vandal_Hearts_II.jpg/220px-Vandal_Hearts_II.jpg
Bloody Roar II,1999-04-30,3.8,,Action » Fighting » 3D,"With the dawning of the new millennium, a new breed of assassins emerges-altered humans who transmute into violent, raging beasts. All must fight and survive to satisfy their own inner quests..",https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Bloody_Roar_II.jpg/220px-Bloody_Roar_II.jpg
Romance of the Three Kingdoms VI: Awakening of the Dragon,2000-03-31,3.79,,Strategy » General,"Romance of the Three Kingdoms 6 gives players the opportunity to build, manage and control an ancient Chinese fiefdom while interacting with and directing the actions of characters from the famous Romance of the Three Kingdoms epic. The goal is to unify the charred remains of this fragmented, war-torn land into a single empire stretching across the continent.",
Capcom vs. SNK Pro,2002-08-14,3.79,74,Action » Fighting » 2D,Two monster corporations at war. One solution. A massive martical arts event is organized to settle the score and eliminate all conflict between the two parties. Join over 30 brawlers from Capcom's legendary Street Fighters and SNK's world-renowned The King of Fighters series as they fight for universal domination.,https://static.giantbomb.com/uploads/scale_medium/8/87790/2179471-box_cvs.png
Armored Core,1997-10-31,3.79,,Simulation » Vehicle » Combat,"Join ranks with the mercenary-for-hire organization, Raven's Nest, and blaze a trail through 46 action-packed missions. You'll have access to over 100 parts that provide thousands of different design possibilities for your Armored Core machine.",https://images-na.ssl-images-amazon.com/images/I/81mLEhlnAIL._SX425_.jpg
Dragonseeds,1998-09-30,3.79,,Strategy » General,Enter the world of Dragonseeds! Take the role of a dragonsage. Genetically engineer and train dragons for armed combat! Use Memory Card data from ANY PlayStation® game to create combat-ready dragons,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Dragonseeds_Cover.jpg/220px-Dragonseeds_Cover.jpg
Devil Dice,1998-06-30,3.79,,Puzzle » Matching,"An addictive, 3D Multi-player puzzle game, Devil Dice tempts players to beat the clock or up to four other players in a frantic high-speed circus of tumbling dice. Race your devil over the tops of the dice, turning them over to line up numbers, retire rows and raise your score.",http://img1.game-oldies.com/sites/default/files/packshots/sony-playstation/devil-dice-usa.jpg
Roll Away,1998-11-30,3.78,,Puzzle » Action,"Maneuver the world's coolest beach ball through more than 200 imaginative floating 3D mazes. Your goal: pick up the necessary coins, gems, fruits, and keys needed to exit each level, without bouncing off a ledge or running into the multiple obstacles that stand in your way.",--------------
Tail Concerto,1999-08-31,3.78,,Action Adventure » General,"Dogs and cats inhabit the world of Prairie. The dogs are the dominant group and have denied the cats representation in the government. The Black Cats is formed to get feline representation by any means necessary. Believing that five crystals scattered in Prairie hold the key to a utopia filled with catnip, the Black Cats go after them. If the crystals are gathered, they will awaken the Iron Giant who will destroy Prairie. You take the role of Waffle, who must stop the Black ",https://www.lukiegames.com/assets/images/PS1/ps1_tail_concerto_p_07vvmm.jpg
Tomb Raider: The Last Revelation,1999-12-06,3.78,,Action Adventure » Linear,"According to Egyptian legend, Horus, son of the light, outwitted the evil God Set and imprisoned him in a secret tomb. Five thousand years later, Lara Croft discovers the lost tomb and unwittingly unleashes the evil God Set, fulfilling the ancient prophecy of his return to plunge mankind into darkness! In a race against time, Lara must use all her wit and skill to reimprison Set and save the world from Armageddon.",https://www.mobygames.com/images/covers/l/210750-tomb-raider-the-last-revelation-windows-front-cover.jpg
FIFA: Road to World Cup 98,1997-12-01,3.77,,Sports » Team » Soccer » Sim,"Conquer fierce defenders and defeat entire nations on your quest to compete in World Cup 98. Featuring 172 International teams from 6 zones and 16 International stadiums. Responsive player and ball control. New motion captured players and moves. Detailed stats for over 4500 players. 5 ways to compete: World Cup 98, Friendly, League, Penalty Kick Shootout and Training Mode. Edit teams and players to create your own dream team.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/FIFA_98_cover.jpg/250px-FIFA_98_cover.jpg
Disney/Pixar's Toy Story 2: Buzz Lightyear to the Rescue!,1999-11-30,3.77,75,,"As space hero Buzz Lightyear, you've got your hands full. Your best buddy, Woody, has been kidnapped by a greedy toy collector and it's going to be an all-out race against time to save him.",-----------
Bishi Bashi Special 2,2000-07-07,3.77,,Miscellaneous » Party / Minigame,"Nippon shenanigans to twist your melon! 85 games jam-packed onto one bumper party disc... and every one of them as mad as a fish. The world of Bishi Bashi Special awaits. Are you up for the challenge? ""One of the most original, inventive and downright playable titles..."" 90% (Top Gear Award) Total Station Magazine ""The party game of the century.",https://coolrom.com/screenshots/psx/Bishi%20Bashi%20Special%202%20%28Japan%29.jpg
Rayman,1995-09-09,3.77,,Action » Platformer » 2D,"This classic, award-winning platformer is the first game in the Rayman series. The original Rayman, a critically -acclaimed platforming adventure, is now available on Nintendo 3DS Known for its groundbreaking animation and music, Rayman is a game that stands the test of time. One fateful day in the Glade of Dreams, the evil Mr. Dark threatens the world and traps the Electoons. It is up to Rayman to free them and defeat the evil forces",https://ubistatic19-a.akamaihd.net/ubicomstatic/en-us/global/game-info/rl_naked_boxshot_mobile_138237.jpg
The King of Fighters '96,1997-07-04,3.77,,Action » Fighting » 2D,"The battle of the dream teams '96 - READY! 27 of SNK's top fighting heroes face off for fisticuffs! Only King of Fighters lets you combine your favorite characters in exciting teams. Try out endless combinations and bop your way to the top with the toughest team of all! Over 2,900 possible team combinations using the Team Edit Function. It's too much!",https://vignette.wikia.nocookie.net/snk/images/5/58/Kof96.jpg/revision/latest?cb=20080428001700
King's Field,1995-12-31,3.77,,Role-Playing » Western-Style,"Prepare yourself for an epic action-adventure never before imaginable. Only now, with the gaming power made possible by the PlayStation™ is a world as vast and detailed as King'd Field a reality. This first-person game is completely rendered in beautiful 3D polygon graphics, with texture mapping and fully controllable 360° viewing. Imagine a universe where you can travel freely - being able to look up and down, climb ancient ruins",https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Kings_Field_II_gameplay.jpg/220px-Kings_Field_II_gameplay.jpg
X-COM: UFO Defense,1995-10-25,3.77,,Strategy » Turn-Based » Tactics,"You are the commander of X-COM; a multi-national defense force formed to defeat aliens, who threaten mankind's very survival. COMMAND DEADLY CLOSE-COMBAT BATTLES. After shooting down UFOs you must send your finest soldiers into action against the aliens in an attempt to recover their technology, weapons or bodies!",https://upload.wikimedia.org/wikipedia/en/thumb/9/93/X-COM_-_UFO_Defense_Coverart.png/220px-X-COM_-_UFO_Defense_Coverart.png
Metal Slug X,2001-04-14,3.77,85,Action » Shooter » Shoot-'Em-Up » Horizontal,"Brace yourself for non-stop battle action in the hit straight from the arcades! In Metal Slug X, you'll chose from four tough-as-nails soldiers ready for missions that only the best could survive. Rescue hostages while blowing terrorists back to the stone-age using your personal weaponry AND their own machine!",https://www.mobygames.com/images/covers/l/6907-metal-slug-x-playstation-front-cover.jpg
Future Cop: L.A.P.D.,1998-08-31,3.76,,Simulation » Vehicle » Combat,"In the 21st Century, gangs have taken over L.A. Hit the streets with your standard issue hovercraft, walker and all-purpose justice dispenser. It's like playing ""good cop/bad cop"". Only without the good cop. Two unique game modes: Crime War: Reclaim 8 sections of crime-ridden L.A., alone or with a friend. Preceinct Assault: A two-player strategic battle against a ",https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Futurecop.jpg/220px-Futurecop.jpg
Mortal Kombat Trilogy,1996-10-11,3.76,,Action » Fighting » 2D,Shao Kahn's final attempt to control the earth is upon us...You have no choice. Defeat Kahn's deadly Warriors or die trying.,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/MKTBox.jpg/220px-MKTBox.jpg
Namco Museum Vol. 1,1996-07-31,3.76,,Miscellaneous » Compilation,"BRING HOME 7 OF THE GREATEST GAMES IN ARCADE HISTORY! Keep those quarters in your pants. With Namco Museum Vol. 1, you can set up your own arcade with classics like Pac-Man, Galaga, Pole Position, Bosconian, Rally-X, New Rally-X, and Toy Pop. Genuine arcade translations with genuine arcade",https://images.lukiegames.com/t_150e2/assets/images/PS1/ps1_namco_museum_volume_3_p_pcgtzs.jpg
Thunder Force V: Perfect System,1998-08-31,3.76,70,Action » Shooter » Shoot-'Em-Up » Horizontal,"Thunder Force V: Perfect System is an Action game, developed and published by TechnoSoft, which was released in Japan in 1998.",https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Thunder_Force_V_cover.jpg/220px-Thunder_Force_V_cover.jpg
Torneko: The Last Hope,2000-11-15,3.76,66,Role-Playing » Roguelike,The world of Dragon Warrior returns! Torneko (the tubby merchant from Dragon Warrior IV) takes the best-selling series in new directions as he tries to save his village from the curses of a mysterious treasure.,https://upload.wikimedia.org/wikipedia/en/e/e8/TornekoTheLastHope.png
The King of Fighters '99,2001-04-22,3.76,,Action » Fighting » 2D,"The King of Fighters takes a new turn for excitement! Thrill to the new story of the new hero ""K"" (that's ""K Dash"" to you, pal!) and a new system with teams of 4 fighters battling it out in white hot ""Striker Matches""! Choose from 32 Tough Guys and Gals.",https://vignette.wikia.nocookie.net/snk/images/d/d9/Kof99_arcade_flyer.jpg/revision/latest/scale-to-width-down/337?cb=20180304235914
SkullMonkeys,1998-01-31,3.76,,Action » Platformer » 2D,"Armed with a killer butt and a boatload of bizarre weapons, you're Klaymen, the last clay action hero. Run. Jump. Butt-bounce. Repeat until you save your beloved homeworld from the evil villain Klogg and his SkullMonkey minions.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqyd720nOmnYanm_uTQtRHrMwTd4VkE11YzebZ3bWcUoxEpCTx
Monster Rancher,1997-11-30,3.75,86,Strategy » General,"Remember when you though monsters were lurking in every dark corner of your house? Well, you were right: Every CD YOU OWN CONTAINS A MONSTER. Every PC CD, ever music CD and every game CD each has a monster living inside. Use Monster Rancher to safely release these monsters into a virtual environment where ",https://i.ebayimg.com/images/g/LosAAOSw-uhahFnH/s-l600.jpg
