title,released,gf_score,metascore,genre,description,cover_art_url
The Lost Vikings,2003-03-30,3.98,75,Puzzle,"The Lost Vikings is a puzzle-platform video game developed by Silicon & Synapse (now Blizzard Entertainment) and published by Interplay. It was originally released for the Super NES in 1993, then subsequently released for the Amiga, Amiga CD32, MS-DOS, and Mega Drive/Genesis systems the next year; the Mega Drive/Genesis version contains five stages not present in any other version of the game. Blizzard re-released the game for the Game Boy Advance in 2003. In 2014, the game was added to Battle.net as a free download emulated through DOSBox.",https://gamefaqs.akamaized.net/box/9/6/0/10960_front.jpg
Boktai: The Sun Is in Your Hand,2003-09-16,3.98,83,Action Adventure,"Boktai: The Sun is in Your Hand is an action-adventure role-playing video game released by Konami for the Game Boy Advance in 2003. The player takes the role of Django, a vampire hunter, who uses a weapon called the ""Gun Del Sol"" (Solar Gun), that fires bolts of sunlight at enemies. The game made novel use of a light sensor on the cartridge which encouraged playing parts of the game in direct sunlight.",https://gamefaqs.akamaized.net/box/4/0/5/52405_front.jpg
Donkey Kong Country,2003-06-09,3.98,78,Action,"Donkey Kong Country is a 1994 side-scrollingplatform video gamedeveloped by Rare and published by Nintendo for the Super Nintendo Entertainment System. The game centers on the duo of Donkey Kong and his nephew Diddy Kong, who are on a quest to recover their stolen banana hoard from King K. Rool and his henchmen Kremlings.",https://gamefaqs.akamaized.net/box/3/3/3/11333_front.jpg
Super Robot Taisen J,2005-09-15,3.97,,Strategy,"Super Robot Wars J (スーパーロボット大戦J Sūpā Robotto Taisen Jei), is a tactical role-playing video game released for the Game Boy Advance by Banpresto.",https://gamefaqs.akamaized.net/box/2/7/0/70270_front.jpg
Mega Man Battle Network 5: Team Protoman,2005-06-21,3.97,67,Role-Playing,"Mega Man Battle Network 5 is a 2004 video gamedeveloped by Capcom for the Game Boy Advance(GBA) and Nintendo DShandheld game consoles. It is the fifth game in the Mega Man Battle Networkseries, and the first Mega Man game to be released on the Nintendo DS. Battle Network 5 comes in three different versions: Team ProtoMan and Team Colonel, both for the Game Boy Advance, which have similar gameplay but slightly different supporting characters and stories,and Mega Man Battle Network 5: Double Team DS for the Nintendo DS, which includes the content from both games as well as extra content.",https://gamefaqs.akamaized.net/box/3/0/0/63300_front.jpg
Riviera: The Promised Land,2005-06-28,3.97,76,Role-Playing,"Riviera: The Promised Land (Riviera ～約束の地リヴィエラ～ Riviera: Yakusoku No Chi Riviera)is a role-playing video game originally produced in 2002 by Sting Entertainment for WonderSwan Color as the first episode of the Dept. Heaven series of games. The game was later introduced to Nintendo's Game Boy Advance in 2004, which Atlus USA released in North America in 2005. An enhanced remake was released for the PlayStation Portable in November 2006, and was released in July 2007 in North America by Atlus USA. Riviera: The Promised Land became a sleeper hit because of its twist to the RPG standard.",https://gamefaqs.akamaized.net/box/2/4/9/61249_front.jpg
Classic NES Series: Castlevania,2004-10-25,3.97,75,Action,"Castlevania(/ˈkæsəlˌveɪniə/) is an action-adventure gothic horror video game seriescreated and developed by Konami. It has been released on various platforms, from early systems to modern consoles, as well as handheld devices such as mobile phones. The franchise has also expanded into other media, including comic books,an animated TV series and several spin-off video games.",https://gamefaqs.akamaized.net/box/6/3/5/61635_front.jpg
Rhythm Tengoku,2006-08-03,3.97,,Action,"Rhythm Tengoku is a rhythm game developed by Nintendo SPD and published by Nintendo. It was released on August 3, 2006, and was the last game developed by Nintendo for the Game Boy Advance. An arcadeversion of the game was reprogrammed and published by Sega on September 20, 2007. Both versions were released in Japan exclusively. The game has spawned three sequels; Rhythm Heaven, Rhythm Heaven Fever, and Rhythm Heaven Megamix. It began as an idea created by its composer and supervisor Tsunku who proposed it to Nintendo due to his belief that they could do a better job with it than he could.",https://gamefaqs.akamaized.net/box/8/7/2/76872_front.jpg
Classic NES Series: Super Mario Bros.,2004-06-02,3.96,84,Action,"Super Mario Bros. is a platform video gamedeveloped and published by Nintendo. The successor to the 1983 arcade game, Mario Bros., it was released in Japan in 1985 for the Famicom, and in North America and Europe for the Nintendo Entertainment System(NES) in 1985 and 1987 respectively. Players control Mario, or his brother Luigi in the multiplayer mode, as they travel the Mushroom Kingdom to rescue Princess Toadstoolfrom the antagonist, Bowser. They must traverse side-scrollingstages while avoiding hazards such as enemies and pits with the aid of power-ups such as the Super Mushroom, Fire Flower and Starman.",https://gamefaqs.akamaized.net/box/8/3/0/14830_front.jpg
Mega Man Battle Network 5: Team Colonel,2005-06-21,3.95,66,Role-Playing,"Mega Man Battle Network 5 is a 2004 video gamedeveloped by Capcom for the Game Boy Advance(GBA) and Nintendo DShandheld game consoles. It is the fifth game in the Mega Man Battle Networkseries, and the first Mega Man game to be released on the Nintendo DS. Battle Network 5 comes in three different versions: Team ProtoMan and Team Colonel, both for the Game Boy Advance, which have similar gameplay but slightly different supporting characters and stories,and Mega Man Battle Network 5: Double Team DS for the Nintendo DS, which includes the content from both games as well as extra content.",https://gamefaqs.akamaized.net/box/3/0/4/63304_front.jpg
Pokemon Mystery Dungeon: Red Rescue Team,2006-09-16,3.94,67,Role-Playing,"Pokémon Mystery Dungeon: Blue Rescue Team and Pokémon Mystery Dungeon: Red Rescue Team are a matched pair of Pokémongames for the Nintendo DSand Game Boy Advance, respectively. These two games were developed by Chunsoft, published by The Pokémon Company, and distributed by Nintendo. Red Rescue Team was the last Pokémon-themed video game to be released on the Game Boy Advance. The two versions are mostly identical, with Blue Rescue Team taking advantage of the dual-screen features and increased graphical and sound capabilities of the Nintendo DS. The game has six Pokémon exclusive to each version.",https://gamefaqs.akamaized.net/box/3/3/1/70331_front.jpg
Castlevania: Harmony of Dissonance,2002-09-16,3.93,87,Role-Playing,"Castlevania: Harmony of Dissonance is a platform-adventure video game developed and published by Konami for the Game Boy Advance. Belonging to Konami's Castlevania video game series, it is the second installment of the series on the Game Boy Advance. It was released in Japan in June 2002, in North America in September 2002, and in Europe in October 2002. It was the first Castlevania game to be called ""Castlevania"" in Japan instead of ""Akumajō Dracula"".",https://gamefaqs.akamaized.net/box/6/6/9/16669_front.jpg
Dragon Ball Z: Buu's Fury,2004-09-14,3.93,62,Role-Playing,"Dragon Ball Z: Buu's Fury is the third and final game in the series. It was released on September 14, 2004 in North America. The game focuses on the final parts of the Dragon Ball Z series (season 7), namely the battles with Majin Buu. The game added several new additions to the series. First, the game added equipment, which could be equipped to characters to alter their stats and provide various other benefits. The game also allowed players to allocate their own stat points, of which three were given per level. Also added was the ability to block by holding the R button, and also to energy block by holding the B button while blocking. Using the energy block slowly drains the user's energy gauge. Both techniques greatly decrease the amount of damage that is received from attacks. The game also added various other features such as fusions and the ability to transform into a Super Saiyan 3. Although many features were added, the ability to use charge attacks by holding and releasing the A button was eliminated. Players are able to play as Goku, Gohan, Goten, Vegeta and Kid Trunks in the game, with players able to unlock fusions with Gotenks and Gogeta.",https://gamefaqs.akamaized.net/box/9/3/0/59930_front.jpg
Wario Land 4,2001-11-18,3.93,88,Action,Wario Land 4 is a 2001 platformer video gamedeveloped by Nintendo and released for their Game Boy Advance. Wario has to gather four treasures to unlock a pyramid and save Princess Shokora from the Golden Diva. It features 2D graphics with linear transformations.,https://gamefaqs.akamaized.net/box/7/9/0/14790_front.jpg
Mega Man Zero,2002-09-09,3.92,82,Action,"Mega Man Zero is a video game developed by Inti Creates and published by Capcom for the Game Boy Advance (GBA) handheld game console. It is the first installment in the Mega Man Zero series, the fifth series in Capcom's Mega Man video game franchise. It was released in Japan on April 26, 2002, and in North America and Europe later that year.",https://gamefaqs.akamaized.net/box/4/8/0/16480_front.jpg
Final Fantasy I & II: Dawn of Souls,2004-11-29,3.92,79,Miscellaneous,"Final Fantasy 1 & 2: Dawn of Souls is the third compilation of the first two Final Fantasy games, this time for the Game Boy Advance. Like Final Fantasy Origins, it contains enhanced graphics, but also contains extra dungeons (Final Fantasy I) and quests (Final Fantasy II). Dawn of Souls also served as a teaser for the Nintendo DS version of Final Fantasy III.",https://gamefaqs.akamaized.net/box/4/1/7/59417_front.jpg
Shin Bokura no Taiyou: Gyakushuu no Sabata,2005-07-28,3.91,,Role-Playing,"Boktai: The Sun is in Your Hand is an action-adventure role-playing video game released by Konami for the Game Boy Advance in 2003. The player takes the role of Django, a vampire hunter, who uses a weapon called the ""Gun Del Sol"" (Solar Gun), that fires bolts of sunlight at enemies. The game made novel use of a light sensor on the cartridge which encouraged playing parts of the game in direct sunlight.",https://gamefaqs.akamaized.net/box/8/1/6/65816_front.jpg
Mario Tennis: Power Tour,2005-12-05,3.9,81,Sports,"Mario Tennis: Power Tour, known as Mario Power Tennis in Europe and Australia, is a 2005 sports game developed by Camelot Software Planningand published by Nintendofor the Game Boy Advance. It is the sequel to the Game Boy Colorversion of Mario Tennis. Unlike Mario Tennis, players cannot connect their game to the respective Nintendo GameCube version. It was re-released on the Wii U's Virtual Console in 2014.",https://gamefaqs.akamaized.net/box/5/0/1/68501_front.jpg
Drill Dozer,2006-02-06,3.89,81,Action,"Drill Dozer is an action platformer video game for the Game Boy Advancesystem, released in 2005 in Japan, and in 2006 in North America, before receiving a release in all regions on the Wii U Virtual Console service in 2015 and 2016. It is one of only two Game Boy Advance games to include force feedback, the other being WarioWare: Twisted!.",https://gamefaqs.akamaized.net/box/8/8/1/68881_front.jpg
The Urbz: Sims in the City,2004-11-09,3.89,72,Simulation,"The Urbz: Sims in the City is a video game that was released in 2004 for the PlayStation 2, Xbox, Nintendo GameCube, Game Boy Advance, and Nintendo DS as a launch title for that system. It is the third Sims game for these consoles and is the second Sims game to be unreleased on Windows PC. The next release for consoles and handhelds was the console port of The Sims 2.",https://gamefaqs.akamaized.net/box/7/2/5/59725_front.jpg
Hamtaro: Ham-Ham Heartbreak,2003-04-08,3.89,72,Action,"Hamtaro: Ham-Ham Heartbreak is a video game in the Hamtaro game series for Game Boy Advance developed by Pax Softnica and published by Nintendo, as the sequel to Tottoko Hamutaro: Tomodachi Daisakusen Dechu and Hamtaro: Ham-Hams Unite!. Therefore, it was the second Hamtarogame released in America and Europe, but the third one in Japan. It was released in Japan on May 3, 2002, in North America on April 8, 2003 and in Europe on June 27, 2003. After Hamtaro: Ham-Ham Heartbreak, only one more Hamtaro adventure game was released, which was Hamtaro: Rainbow Rescue.",https://gamefaqs.akamaized.net/box/0/4/3/57043_front.jpg
Mario Golf: Advance Tour,2004-06-22,3.89,84,Sports,Mario Golf: Advance Tour is a role-playing video game-styled sports game developed by Camelot Software Planningand published by Nintendofor the Game Boy Advancein 2004. The game is the sequel to the Game Boy Color version of Mario Golf.,https://gamefaqs.akamaized.net/box/1/1/8/52118_front.jpg
Dragon Ball: Advanced Adventure,2006-06-06,3.88,75,Action,"Dragon Ball: Advanced Adventure is a Game Boy Advance video gamebased on the Dragon Ballmanga and anime series. The game contains 30 playable characters. It contains five modes of play. The story of the game starts at the beginning of the series when Gokumeets Bulma, and goes up to the final battle against King Piccolo.",https://gamefaqs.akamaized.net/box/7/7/3/62773_front.jpg
Breath of Fire II,2002-04-16,3.88,81,Role-Playing,"Breath of Fire II is a role-playing video gamedeveloped and published by Capcom. First released in 1994, the game was licensed to Laguna for European release in 1996. It is the second entry in the Breath of Fire series. It was later ported to Game Boy Advance and re-released worldwide. The game was released on Wii's Virtual Console in North America on August 27, 2007. Nintendo of Europe's website mistakenly announced it for release on July 27, 2007, but it was in fact released two weeks later, on August 10, 2007.",https://gamefaqs.akamaized.net/box/3/8/0/16380_front.jpg
Final Fight One,2001-09-26,3.87,82,Action,"The Game Boy Advance version that was developed by Sun-Tec, titled Final Fight One, was released in 2001. Final Fight One features all three characters and the Industrial Area stage that was missing from the SNES version. The 2-player cooperative mode is also featured via link cable. Dialogue scenes prior to each boss battle have been added and the Street Fighter Alpha 3 renditions of Cody and Guy are featured as hidden playable characters. Other unlockable features include alternate palettes for each player character and the ability for two players to use the same character. The character and background designs are lifted from the SNES versions rather than the original arcade version, with the enemy placement being similar to Final Fight Guy, although the maximum number of on-screen enemies was increased and all the transition sequences were restored. The same new power-up items introduced in Final Fight Guy are also present in this version, along with a new Cody doll item. The English localization of the game featured the same changes as the two SNES versions.",https://gamefaqs.akamaized.net/box/0/3/4/13034_front.jpg
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,2006-03-14,3.87,73,Strategy,"Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006, known as Yu-Gi-Oh Duel Monsters Expert 2006 「遊戯王デュエルモンスターズ エキスパート2006」 in Japan, and Yu-Gi-Oh World Championship Tournament 2006 in Europe is a video game released in early Summer 2006 based on the Yu-Gi-Oh! franchise. The gameplay involves the player collecting cards in-game and using them to battle the computer players. Players may also (upon completing the Free Duel mode) battle against Decks which they themselves have designed and saved. This game comes with three promotional Yu-Gi-Oh! cards enclosed; they are ""Helios - The Primordial Sun"", ""Helios Duo Megistus"", and ""Golden Homunculus"". These cards were later handed out in English Blister Packs.",https://gamefaqs.akamaized.net/box/6/9/3/72693_front.jpg
River City Ransom EX,2004-05-25,3.86,75,Action,"A GBA version of the game, titled River City Ransom EX was released in Japan on March 5, 2004 and in North America on May 26, 2004. This remake was developed by Million and published by Atlus. The most notable change from the original version is the loss of a true cooperative mode. Instead, the game can be played with an AI-controlled partner, and players may exchange the data of their own characters to fight alongside each other. The GBA version also includes a vast number of configurable options that can adjust game play on the fly, such as changing AI behaviour, the number of enemies in one map area, and shop item reshuffling frequency. The password system is replaced by battery backup, which allows saving up to 12 characters. Character's appearances, keystrokes for learned techniques, even enemy characters can be customized and saved using secret shop items. A saved game does not store story progress or reputation, but it does store the player's statistics, techniques, current items and money, player's name, and customized appearances. The player can gain additional computer-controlled allies and form a ""posse"" who helps the player on his adventure. Some of these boss characters are from the original NES version, while others are taken from later Downtown Nekketsu games. The player can be accompanied by up to three AI-controlled partners.",https://gamefaqs.akamaized.net/box/0/1/8/54018_front.jpg
Fire Pro Wrestling,2001-06-10,3.86,80,Sports,"Fire Pro Wrestling (ファイヤープロレスリング Faiyā Puro Resuringu) is a professional wrestlingvideo game series originating from Japan, starting in 1989 by Human Entertainment, and developed and owned by Spike Chunsoft. The series is distinguished by its grappling system, which is primarily based on timed button presses and strategy. Another signature feature of the series is its Edit mode, a character creation feature with many options to customize appearances, wrestling moves and character A.I.behavior.",https://gamefaqs.akamaized.net/box/1/3/2/13132_front.jpg
Donkey Kong Country 3,2005-11-07,3.86,77,Action,"Donkey Kong Country 3: Dixie Kong's Double Trouble!, released in Japan as Super Donkey Kong 3: Nazo no Kremis Shima (スーパードンキーコング３ 謎のクレミス島, Super Donkey Kong 3: Mysterious Kremis Island)is an adventure platformvideo game developed by Rare and published by Nintendo for the Super Nintendo Entertainment System (SNES). It was released on November 22, 1996, in North America, on November 23, 1996 in Japan, and on December 13, 1996 in Europe and Australia. It is the third installment of the Donkey Kong Country series and serves as a direct sequel to Donkey Kong Country 2: Diddy's Kong Quest. It was also re-released for the Game Boy Advance (GBA) in 2005. The game was made available to download on the Wii's Virtual Console service in 2007, as well as for the Wii U's Virtual Console in 2014.",https://gamefaqs.akamaized.net/box/4/9/7/68497_front.jpg
The Lord of the Rings: The Return of the King,2003-11-05,3.86,77,Role-Playing,"The Lord of the Rings: The Return of the King is a 2003 action/hack and slash video gamedeveloped by EA Redwood Shores for the PlayStation 2 and Windows. It was ported to the GameCubeand Xbox by Hypnos Entertainment, to the Game Boy Advance by Griptonite Games, to mobile by JAMDAT, and to OS X by Beenox. The game was published by Electronic Arts. It is the sequel to the 2002 game The Lord of the Rings: The Two Towers.",https://gamefaqs.akamaized.net/box/8/3/6/18836_front.jpg
Double Dragon Advance,2003-11-14,3.84,75,Action,Double Dragon Advance is a 2003 side-scrolling beat-em-upreleased for the Game Boy Advance. It was published by Atlus and developed by Japanese studio Million. It is a remake of the 1987arcade game Double Dragon and incorporates elements from its sequels and home versions.,https://gamefaqs.akamaized.net/box/6/2/5/55625_front.jpg
Yggdra Union: We'll Never Fight Alone,2006-11-21,3.84,77,Strategy,"Yggdra Union: We'll Never Fight Alone is a tactical role-playing gamefor the Game Boy Advanceand PlayStation Portable, developed by Sting Entertainment as the second episode of the Dept. Heaven saga of games. Atlus USAlocalized and published both versions of the game in North America. 505 Games published the Game Boy Advance version in a limited number of European countries, such as Italy and France. A Nintendo DS side-game was released in Japan on December 3, 2009 as Yggdra Unison: Seiken Buyuuden.",https://gamefaqs.akamaized.net/box/0/7/7/72077_front.jpg
DOOM II,2002-10-28,3.83,77,Action,"Doom II (full title Doom II: Hell on Earth) is a first-person shooter video game, the second title of id Software's Doomfranchise. It was originally released for MS-DOS computers in 1994 and Macintosh computers in 1995. Unlike Doom, which was initially only available through shareware and mail order, Doom II was a commercial release sold in stores. Master Levels for Doom II, an expansion pack that includes 21 new levels, was released on December 26, 1995 by id Software.",https://gamefaqs.akamaized.net/box/0/6/8/3068_front.jpg
Klonoa 2: Dream Champ Tournament,2005-02-23,3.83,78,Action,"Klonoa 2: Dream Champ Tournament known in Japan as Kaze no Klonoa G2: Dream Champ Tournament ( 風のクロノアG2 ドリームチャンプ・トーナメント), is a video game published by Namcoand released on the Game Boy Advance in Japan in 2002 and North America in early 2005. As the third game in the Klonoahandheld series, the game retains many of the gameplay elements of the previous titles, while adding in a few of its own.",https://gamefaqs.akamaized.net/box/5/8/5/20585_front.jpg
Dr. Mario / Puzzle League,2005-11-28,3.82,74,Puzzle,"Puzzle League, known as Paneru de Pon in Japan, is a series of video games published by Nintendo for its various video game consoles. The series began with Panel de Pon in Japan, named Tetris Attack in North America, and has since been adapted to many other consoles. The core gameplay of each version is the same in each game, but branding, presentation details and console-specific features have varied.",https://gamefaqs.akamaized.net/box/5/1/5/70515_front.jpg
Super Street Fighter II Turbo: Revival,2001-10-30,3.81,84,Action,"Super Street Fighter II Turbo (also known as Super Street Fighter II Turbo: The Ultimate Championship) is a competitive fighting gamereleased for the arcades by Capcom in 1994 in Japan on February 23, 1994, North America on February 23, 1994 And March 26, 1994 (Beta) and Europe on 1994. It is the fifth installment in the Street Fighter II sub-series of Street Fighter games, following Super Street Fighter II: The New Challengers. Like its predecessor, it ran on the CP System II hardware.",https://gamefaqs.akamaized.net/box/3/1/8/13318_front.jpg
Sonic Advance 3,2004-06-07,3.81,79,Action,"Sonic Advance 3 is a 2004 platform video gamedeveloped by Dimps and Sonic Team for the Game Boy Advance. It is part of the Sonic the Hedgehogseries, and the sequel to Sonic Advance 2. The game stars the characters Sonic, Tails, Amy, Knuckles, and Cream as they seek to keep Doctor Eggman and his robot assistant Gemerl from building empires on each of seven chunks Eggman has divided the Earth into.",https://gamefaqs.akamaized.net/box/3/3/7/57337_front.jpg
Medabots: Metabee,2003-03-31,3.81,,Role-Playing,"Medabots: Metabee and Medabots: Rokusho (メダロット弐CORE クワガタバージョン・カブトバージョン Medarotto Ni CORE Kabuto Bājon · Kuwagata Bājon) is a set of two 2D top-down role-playing video games in the Medabotsseries, developed by Natsume and published by Imagineer for Game Boy Advance. It is a remake of the 1999 title Medarot 2(メダロット２ Medarotto 2). Although Medarot 2 was released exclusively in Japan, Medabots was released in other regions. It was later re-released on Wii U Virtual Console.",https://gamefaqs.akamaized.net/box/3/0/0/54300_front.jpg
Konami Krazy Racers,2001-06-10,3.8,78,Racing,"Konami Krazy Racers(Konami Wai Wai Racing Advance in Japan; Krazy Kart Racing for mobile) is a kart racing video game published and developed by Konami for the Game Boy Advancehandheld video game console, iOS and Android. It was first released in Japan, and was later released in North Americaand some PAL regions. It was also re-released for Wii U Virtual Console on October 15, 2015 in Europe. It was a launch game for the system. Konami Krazy Racersmakes use of a variety of characters and concepts from several of Konami's franchises, including Castlevania, Metal Gear, and Gradius. It plays similarly to the Mario Kartseries, with eight characters per circuit and offensive/defensive items placed at predetermined points in the tracks.",https://gamefaqs.akamaized.net/box/1/3/5/13135_front.jpg
Densetsu no Starfy,2002-09-06,3.8,,Action,Densetsu no Stafy is a platform video gamedeveloped by Tose and published by Nintendo for the Nintendo Game Boy Advance exclusively in Japan. It is the first game in the series The Legendary Starfy.,https://gamefaqs.akamaized.net/box/2/7/6/11276_front.jpg
The King of Fighters EX2: Howling Blood,2003-12-11,3.8,80,Action,"The King of Fighters EX2: Howling Blood is a fighting game released by Playmore, MMV and Sun-Tec for the Gameboy Advance. It is based on The King of Fighters 2000 and is the sequel of The King of Fighters EX. It was also ported for the N-Gage as The King of Fighters Extreme.",https://gamefaqs.akamaized.net/box/1/6/7/44167_front.jpg
Medabots AX: Rokusho Ver.,2002-06-27,3.8,,Action,"Medabots AX: Metabee version and Medabots AX: Rokusho version are spin-off fighting games of the Medabots series, developed and published by Natsume.",https://gamefaqs.akamaized.net/box/1/3/5/16135_front.jpg
Super Mario Advance,2001-06-10,3.79,84,Action,"On March 21, 2001, Super Mario Bros. 2 received another release, based on the All-Stars remake, as part of Super Mario Advance, which also contains a remake of Mario Bros.. Super Mario Advance was developed by Nintendo Entertainment Analysis and Development, and was a launch title for the Game Boy Advance. The Super Mario Advance version of Super Mario Bros. 2 includes several new features such the addition of the enemy Robirdo, a robotic Birdo, replacing Mouser as the boss of World 3; the addition of the Yoshi Challenge, in which players may revisit stages to search for Yoshi Eggs; and a new point-scoring system, similar to that used in the aforementioned BS Super Mario USA Power Challenge. Graphical and audio enhancements appear in the form of enlarged sprites, multiple hit combos, digital voice acting, and such minor stylistic and aesthetic changes as an altered default health-meter level, boss-order, backgrounds, the size of hearts, Princess Toadstool being renamed to the now-standard ""Princess Peach"", and the inclusion of a chime to announce Stars. The game was released for the Wii U Virtual Console on July 16, 2014, in Japan and later in North America on November 6, 2014.",https://gamefaqs.akamaized.net/box/5/3/2/12532_front.jpg
Tales of Phantasia,2006-03-06,3.79,76,Role-Playing,"The Game Boy Advance release marked the first official English-language appearance of Tales of Phantasia, which was met with mostly positive reception in the West, earning a 73% average from GameRankings and 76 out of 100 rating from Metacritic. While websites such as GameSpot felt that the game distinguished itself from other role-playing titles with its action-based combat system, it also overly-relied on too many random battles to ""drag down the pacing and pad out the playing time"". IGN commented that the battle system was unrefined when compared to later games in the series such as Tales of Symphonia on the GameCube, but that the graphic and audio quality held up ""relatively well"" eleven years after its original release. The site would also call the story and characters ""amazing"", but that its dated design would only appeal to players familiar with older games in the genre, calling it a ""love/hate"" experience. Editors of Electronic Gaming Monthly similarly remarked that ""fans of traditional RPGs will appreciate its long, varied dungeons and action-packed, real-time battles,"" and that it ""still has an awful lot of charm for such an old game"". Eurogamer expressed that the title's late release near the end of the handheld's life hurt it when compared to similar ports on Sony's PlayStation Portable, and that the game's ""messy"" interface and ""rough around the edges"" localization paled in comparison to the Super Famicom's unofficial fan translation.",https://gamefaqs.akamaized.net/box/6/4/7/43647_front.jpg
Summon Night Craft Sword Monogatari: Hajimari no Ishi,2005-12-08,3.78,,Role-Playing,Summon Night Craft Sword Monogatari: Hajimari no Ishi (サモンナイト クラフトソード物語 はじまりの石 Samon Naito Kurafutosōdo Monogatari Hajimari no Ishi) is an action role-playing game by Flight-Plan for the Game Boy Advance.,https://gamefaqs.akamaized.net/box/6/9/6/71696_front.jpg
Ninja Five-O,2003-04-22,3.78,82,Action,"Ninja Five-O, known in the PAL region as Ninja Cop, is an action platform video game developed by Hudson Soft and published by Konami. It was released for the Game Boy Advancein North America and Europe in April 2003. Players take the role of Joe Osugi, a ninja who must stop a terrorist group influenced by mystical masks. It was first announced at ""Konami Gamers' Day"" in early 2003.",https://gamefaqs.akamaized.net/box/2/1/5/52215_front.jpg
Zoids: Legacy,2004-09-15,3.78,,Role-Playing,"Zoids Saga II was released in several English-speaking nations, under the title of Zoids: Legacy. There were no changes to the gameplay, but the entire game was translated from Japanese to English. This translation is mostly inaccurate, incorrect most of the time and nonsensical at others, with numerous spelling and grammar errors. It is cited as one of the major problems of the English-language release.",https://gamefaqs.akamaized.net/box/0/5/1/57051_front.jpg
Combo Pack: Sonic Advance + Sonic Pinball Party,2005-11-16,3.78,,Miscellaneous,"Sonic Pinball Party (ソニック ピンボール パーティー Sonikku Pinbōru Pātī?) is a pinball-themed video game in the Sonic the Hedgehog series released for the Game Boy Advance in 2003. Developed by Jupiter and Sonic Team, the game is a spin-off title featuring references to other games developed by Sonic Team. Sonic the Hedgehog, NiGHTS into Dreams and Samba de Amigo are the most prominent franchises featured, along with characters from Burning Rangers, Phantasy Star Online and Chu-Chu Rocket.",https://gamefaqs.akamaized.net/box/9/5/4/71954_front.jpg
TMNT,2007-03-20,3.77,80,Action,"TMNT is a single-playeraction-adventure multi-platform action gamestarring the Teenage Mutant Ninja Turtles. It is based on the 2007 film of the same name, and was released three days before the actual movie's release for the Xbox 360, Wii, PlayStation 2, Nintendo GameCube, Nintendo DS, and PlayStation Portable, as well as for the PC on March 20, 2007.",https://gamefaqs.akamaized.net/box/5/3/0/78530_front.jpg
Monster Rancher Advance 2,2002-11-17,3.77,79,Strategy,Monster Rancher Advance 2 (known in Japan as Monster Farm Advance 2 (モンスターファーム アドバンス 2Monsutā Fāmu Adobansu Tsū)) is the second of the Monster Rancher games to be released on Game Boy Advance. It is the sequel to Monster Rancher Advance.,https://gamefaqs.akamaized.net/box/8/8/3/18883_front.jpg
Dragon Ball Z: The Legacy of Goku II,2003-06-17,3.77,75,Role-Playing,"Dragon Ball Z: The Legacy of Goku II was released on June 17, 2003 in North America and by Infogrames. The plot of the game picks up where The Legacy of Goku left off, and continues until the end of the Cell Games Saga when Gohan defeats the evil android Cell. The game introduced several new concepts to the series. The first was transformations, which allowed characters to become temporarily stronger, at the cost of slowly draining their energy. It also introduced the scouter, which allowed players to look up the stats of other characters in the game, as well as basic information about them. The game also introduced charged melee attacks, which allowed characters to unleash a powerful physical strike after a short charging period. The game also allowed characters to further supplement their stats with capsules that were scattered around the game world. Despite being titled ""The Legacy of Goku"" this game featured the most limited play as Goku, with players starting play as Gohan and gradually unlock Piccolo, Vegeta, Trunks and finally Goku as playable characters. Once the story is completed players can no longer play as Goku, but will be able to continue playing as the others to unlock a final playable character, Mister Satan/Hercule in order to unlock an alternate ending to the game.",https://gamefaqs.akamaized.net/box/8/4/4/52844_front.jpg
Medabots: Rokusho,2003-03-31,3.76,,Role-Playing,"Medabots (known as Medarot 2 CORE (メダロット弐CORE) in Japan) is a 2D top-down RPG developed by Natsume and published by Imagineer for the Game Boy Advance. It was released first in Europe, then in North America and last in Japan. It is a remake of the Japan-only Game Boy game ""Medarot 2"".",https://gamefaqs.akamaized.net/box/3/0/3/54303_front.jpg
Classic NES Series: Metroid,2004-10-25,3.76,58,Action Adventure,"Metroid is an action-adventure game developed and published by Nintendo. The first installment in the Metroid series, it was originally released in Japan for the Family Computer Disk System peripheral in August 1986. North America received a release in August 1987 on the Nintendo Entertainment System in a ROM cartridgeformat, with the European release following in January 1988. Set on the planet Zebes, the story follows Samus Aran as she attempts to retrieve the parasitic Metroid organisms that were stolen by Space Pirates, who plan to replicate the Metroids by exposing them to beta raysand then use them as biological weapons to destroy Samus and all who oppose them.",https://gamefaqs.akamaized.net/box/6/0/9/14609_front.jpg
Dragon Ball Z: The Legacy of Goku I & II,2005-12-08,3.76,,Miscellaneous,"Dragon Ball Z: The Legacy of Goku is a series of video games for the Game Boy Advance, based on the anime series Dragon Ball Z. All three games are action role-playing games. The first game, Dragon Ball Z: The Legacy of Goku was developed by Webfoot Technologies and released in 2002. The game was followed by two sequels: Dragon Ball Z: The Legacy of Goku II released in 2003, and Dragon Ball Z: Buu's Fury released in 2004. In 2016, Webfoot Technologies announced the start of development of another sequel.",https://gamefaqs.akamaized.net/box/9/7/1/71971_front.jpg
