Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
Sports Talk Baseball,1992,3.81,n/a,Sports - Team - Baseball - Arcade,"Sports Talk Baseball, released in Japan as Pro Yakyuu Super League '91 (プロ野球スーパーリーグ'９１), is a Mega Drive/Genesis baseball video game which features an official MLBPA license as well as most rules and aspects followed by Major League Baseball.",https://images.launchbox-app.com/ff3e004d-d224-4951-9ad7-75b165a962c0.jpg
Ayrton Senna's Super Monaco GP II,1992-07-16,3.81,n/a,Racing - Simulation - Automobile,"Ayrton Senna's Super Monaco GP II is an arcade-style Formula One racing video game developed and manufactured by Sega, and the follow-up to Super Monaco GP. The game was released for the Sega Master System, Sega Mega Drive, and the Sega Game Gear, appearing in the United States on 16 July 1992, Japan on 17 July 1992, and sometime later in 1992 in Europe. Along with boasting the most ""realistic physics"", it was the best received console driving game at the time of release. The game was also endorsed by, and had technical input from, the then Formula One champion Ayrton Senna, who won the race more times than any other driver, with six victories, and five races consecutively between 1989 and 1993. The game's development was also assisted by Senna, who supplied his own advice about the tracks featured in the game.",https://images.launchbox-app.com/01e2c97c-3e5a-4130-ba29-a25ca5c960ca.jpg
"
Elemental Master",1993,3.81,n/a,Action - Shooter - Shoot-'Em-Up - Vertical,"Elemental Master is a top down shoot 'em up video game developed by TechnoSoft for the Sega Mega Drive and released in 1990 in Japan, and in 1993 in North America by Renovation Products.",https://images.launchbox-app.com/4cfaf9dd-35e4-4a9a-9ed3-9e0a496b6a92.jpg
Rolling Thunder 2,1991-11-18,3.81,n/a,Action - Platformer - 2D,"Rolling Thunder 2 (ローリングサンダー2 Rōringu Sandā Tsū) is a run and gun arcade game developed and released by Namco for the Namco System 2 hardware in 1990. The game is the sequel to 1986's Rolling Thunder, retaining the same gameplay of its predecessor but adding cooperative gameplay for two players and improved graphics. Unlike the original, which was based in 1968, Rolling Thunder 2 features a more contemporary setting to go along with its more futuristic design, as well as an optionally playable female character. A port for the Mega Drive/Genesis was released in 1991. Both the Mega Drive port and the original arcade game were released for the Wii Virtual Console on December 4, 2007 and October 27, 2009 respectively.",https://images.launchbox-app.com/357a5b07-a7c0-4ca6-ac40-65664aa534e5.png
Sagaia,1991,3.81,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,Darius II (ダライアスII Daraiasu Tsū) is a 1989 arcade video game developed by Taito. It is the direct sequel to the 1987 Darius. It was later released as Sagaia (サーガイア Sāgaia) in Japan in 1991 for the Game Boy as well as non-Japanese ports. A remake was released for the PC Engine Super CD-ROM² as Super Darius II (スーパーダライアスII Sūpā Daraiasu Tsū) in 1993.,https://images.launchbox-app.com/dfd9ed22-c751-4515-9010-a0976b1e3cf2.jpg
Tougi-Ou: King Colossus,1992-06-26,3.81,n/a,Role-Playing - Action RPG,"Tōgi Ō: King Colossus (闘技王とうざおう キング コロッサス) is a video game released in 1992 by Sega for the Mega Drive. The game was never localized outside Japan, however, a fan translation patch was released in 2006 which patches the ROM and makes the game playable in the English language.",https://images.launchbox-app.com/ff6a6eb7-9526-4732-822d-78bd7d1d9384.png
Sparkster: Rocket Knight Adventures 2,1994,3.81,n/a, Action - Platformer - 2D,"Sparkster: Rocket Knight Adventures 2, known simply as Sparkster in North America and Europe, is a 1994 side-scrolling platform game developed and published by Konami for the Sega Genesis as the sequel to Rocket Knight Adventures.
Sparkster: Rocket Knight Adventures 2 is the second game in the Sparkster series. Another game under the same title, Sparkster, but without the Rocket Knight Adventures subtitle and not continuing the plot of the first game, was released on the SNES. A follow up game is Rocket Knight.",https://images.launchbox-app.com/3c1a31da-5248-4241-a4c7-b4847c0dd8f4.jpg
"
Jungle Strike",1993-12-16,3.81,n/a,Action - Shooter - Shoot-'Em-Up - Top-Down,"Jungle Strike (subtitle 'The Sequel to Desert Strike', or 'Desert Strike part II' in Japan) is a video game developed and published by Electronic Arts in 1993 for the Sega Genesis/Mega Drive. The game was later released on several other consoles such as the Super Nintendo Entertainment System (SNES), and an upgraded version was made for the Amiga. The Amiga and other home computer conversions were the responsibility of Ocean Software while the SNES version was that of Gremlin Interactive. It is the direct sequel to Desert Strike (a best-seller released the previous year) and is the second installment in the Strike series. The game is a helicopter-based shoot 'em up, mixing action and strategy. The plot concerns two villains intent on destroying Washington, D.C.. The player must use the helicopter and occasionally other vehicles to thwart their plans",https://images.launchbox-app.com/5256562e-a007-421d-adb8-37623235f81e.jpg
RoboCop Versus The Terminator,1994-05-19,3.8,n/a,Action - Platformer - 2D,"RoboCop Versus The Terminator is a video game released for a number of platforms and is based on the RoboCop and Terminator franchises.

The Mega Drive/Genesis version, which was the original lead development of the game and was programmed by Virgin Games USA making use of David Perry's Mega Drive/Genesis engine, is loosely based on the 1992 four-issue comic book mini-series of the same name.",https://images.launchbox-app.com/26e3b88c-cb79-48d4-81fd-618af1251422.jpg
Gauntlet IV,1993-09-16,3.8,n/a,Action - General,"Gauntlet is a fantasy-themed hack and slash 1985 arcade game by Atari Games. It is noted as being one of the first multi-player dungeon crawl arcade games. The core design of Gauntlet comes from Dandy, a 1983 Atari 8-bit family title, which resulted in a lawsuit.

The arcade version of Gauntlet was released in November 1985 and was initially available only as a dedicated 4-player cabinet. A total of 7,848 units were distributed. Atari later released a 2-player cabinet variant in June 1986, aimed at operators who could not afford or did not have sufficient space for the 4-player version",https://images.launchbox-app.com/a70434c3-d4d0-48f2-ac1c-af483d7caf6b.jpg
X-Men 2: Clone Wars,1995,3.79,n/a,Action - Platformer - 2D,"X-Men 2: Clone Wars is a 1995 platform game developed by Headgames and released by Sega of America for the Mega Drive/Genesis as a sequel to the 1993's X-Men. The game is based on the adventures of the Marvel Comics superhero team, the X-Men. X-Men 2 was praised by critics and won retrospective acclaim as one of the best games on the platform. A sequel, titled X-Women, was cancelled.",https://images.launchbox-app.com/67a27e3b-f105-4fd1-89cb-78a2197a4405.jpg
Disney's Aladdin,1993-11-11,3.79,n/a,Action - Platformer - 2D,"Disney's Aladdin is a platform game based on the 1992 film of the same name developed by Virgin Games and Disney Software. The game was released by Sega for the Sega Genesis on November 11, 1993 as one of several games based on the film, including another game that was released in the same month by Capcom for the Super NES. The game is one of the best-selling Genesis games with four million copies sold. It also received a number of adapted ports for other platforms, such as the NES, Game Boy, Amiga, and DOS computers",https://images.launchbox-app.com/61c40353-fece-4d6e-a2fa-532d5549794e.jpg
Mutant League Hockey,1994,3.78,n/a,Sports - Team - Ice Hockey - Arcade,Mutant League Hockey is a hockey game that was released in 1994 for the Sega Genesis. This video game is a spin-off of Mutant League Football and features several of the same team names and players as well as new ones,https://images.launchbox-app.com/5e5bdd24-84a1-402d-aa38-925a018f7918.png
Chiki Chiki Boys,1993,3.78,n/a,Action - Platformer - 2D,"Mega Twins, also known as Chiki Chiki Boys (チキチキボーイズ Chiki Chiki Bōizu) in Japan, is a side-scrolling action game released for the arcades by Capcom in 1990. It was the tenth game released for the CP System hardware.",https://images.launchbox-app.com/a04059e4-c21d-4b80-8b71-5926362d039d.jpg
Gley Lancer,2008-07-21,3.78,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,Gley Lancer is a 1992 scrolling shooter video game developed and published by Masaya for the Sega Mega Drive.,https://images.launchbox-app.com/703e34a3-fd44-4237-bb41-24c034c5c10f.png
Truxton,1989,3.87,n/a,Action - Shooter - Shoot-'Em-Up - Vertical,"Truxton is a 1988 vertically scrolling, shoot 'em up arcade game developed by Toaplan, later ported to the Mega Drive (worldwide; Sega: North America) and the PC Engine (Japan-only). Like many other scrolling shooters, the game is set in outer space, where the player takes control of a small spaceship across several planets. The game is played with an eight-way joystick and two buttons (a shot and a bomb button) through five large levels and their bosses (which then loop forever, at higher difficulties)",https://images.launchbox-app.com/6bdc9b84-0dfd-4b86-91a9-5550cf0c4347.jpg
NBA Jam,1994-03-04,3.78,n/a,Sports - Team - Basketball - Arcade,"NBA Jam (sometimes ""Jam"" for short) is a long-running basketball video game series based on the National Basketball Association (NBA). Initially developed as arcade games by Midway, the game found popularity with its photorealistic digitized graphics, over-the-top presentation and exaggerated style of two-on-two basketball play. The successor to Midway's Arch Rivals, the original 1993 NBA Jam allowed players to jump many times above their own height, make slam dunks that defy human capabilities, and freely shove or elbow opponents out of the way. It also featured a variety of secret characters, as well as the ability to track player records and statistics between play sessions.",https://images.launchbox-app.com/e897c837-8567-454e-bd19-5a11c22a0ee1.jpg
Virtua Racing,1994-03-14,3.78,n/a, Racing - Arcade - Automobile,"Virtua Racing or V.R. for short, is a Formula One racing arcade game, developed by Sega AM2 and released in 1992. Virtua Racing was initially a proof-of-concept application for exercising a new 3D-graphics platform under development, the ""Model 1"". The results were so encouraging, that Virtua Racing was fully developed into a standalone arcade title. Though its use of 3D polygonal graphics was predated by arcade rivals Namco (Winning Run in 1988) and Atari (Hard Drivin' in 1989), Virtua Racing had vastly improved visuals in terms of polygon count, frame rate, and overall scene complexity, and displayed multiple camera angles and 3D human non-player characters, which all contributed to a greater sense of immersion. Virtua Racing is regarded as one of the most influential video games of all time, for laying the foundations for subsequent 3D racing games and for popularizing 3D polygonal graphics among a wider audience",https://images.launchbox-app.com/04be989f-b045-4403-bd5f-d574f36afe78.jpg
Mutant League Football,1993,3.77,n/a,Sports - Team - Football - Arcade,"Mutant League Football is a video game that was released in 1993 for the Sega Genesis. It has long been believed that the game was designed using the Madden '93 engine, but was actually made from scratch, and features a different take on football, where the games resemble a war as much as a sporting competition",https://images.launchbox-app.com/76554d1a-406d-402a-857c-22b29ba4f327.jpg
Disney's The Jungle Book,1994,3.77,n/a,Action - Platformer - 2D,"The Jungle Book is a series of platform video games based on the 1967 Disney animated film of the same name. The game was released by Virgin Interactive Entertainment in 1994 for the Game Boy, NES, Master System, Sega Genesis/Mega Drive, Sega Game Gear, Super NES, and PC, and a remake for the Game Boy Advance was released in 2003 to celebrate the film's sequel, The Jungle Book 2. While gameplay is the same on all versions, technological differences between the systems forced changes – in some case drastic – in level design, resulting in six fairly different versions of the 'same' game. This article is largely based upon the Genesis version.",https://images.launchbox-app.com/e14eac1b-5edb-4aa3-80c9-9a91be364899.jpg
Phantasy Star II,1990-03-01,3.77,n/a,Role-Playing - Japanese-Style,"Phantasy Star II is a role-playing video game developed and published by Sega for the Sega Genesis. It was released in Japan and North America in 1989, and in Europe in 1990. It was later ported to a variety of different platforms. An updated remake, Phantasy Star Generation 2, was released for the PlayStation 2 in 2005 in Japan.",https://images.launchbox-app.com/8ce587cb-bdb7-40bf-93c1-882e783103e1.jpg
Gaiares,1990,3.77,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Gaiares (ガイアレス Gaiaresu) is a scrolling shooter developed by Telenet Japan and published by Renovation for the Sega Genesis in Japan and North America in 1990. It was one of the first 8Mb cartridge games on the Genesis. Its title combined Gaia (mother Earth) and a shortened form/abbreviation of the word ""rescue"" (Res), which is the main objective of the battle taking place within the storyline.",https://images.launchbox-app.com/6ba5e078-48b7-4b55-b9ef-a8c60e3c7323.jpg
Earthworm Jim,1994-06-09,3.76,n/a,Action - Platformer - 2D,"Earthworm Jim is a series of side-scrolling platforming video games, the first game of which was released in 1994. The series is noted for its platforming and shooting gameplay, surrealist humor, and edgy art style. Four games were released in the series: Earthworm Jim, Earthworm Jim 2, Earthworm Jim 3D, and Earthworm Jim: Menace 2 the Galaxy. The series lay dormant for almost a decade before Gameloft remade the original game in HD for PlayStation Network and Xbox Live Arcade in 2010. Interplay announced Earthworm Jim 4 in 2008, but little has surfaced since.",https://images.launchbox-app.com/c199bef4-b3eb-4cf4-ac92-857655b89095.png
Skitchin,1993,3.76,n/a, Sports - Individual - Skate / Skateboard,"Skitchin' is a video game for the Sega Genesis, developed by EA Canada and published by Electronic Arts in 1994. The game puts the player in control of an inline skater who has to ride his inline skates while holding onto cars, bikes, and trucks (an act called skitching). Players have this character defending and attacking computer-controlled opponents while racing to the finish. Winning races earns the player's character money. The game has a similar design structure to other video games such as Road Rash. Following its release, it received generally negative reception",https://images.launchbox-app.com/6fe7d32f-5468-4669-a23b-2eda1e3112e7.jpg
"
Haunting Starring Polterguy",1993,3.76,n/a,Action - General,"Haunting Starring Polterguy is a 1993 comedy-horror video game released for the Sega Mega Drive/Genesis by Electronic Arts. Taking control of a ghost named 'Polterguy', the player must bring various household items to life in order to frighten a family away from their home.

The game is notable for an extensive array of short animation sequences. A port for the PlayStation Portable was released in 2006",https://images.launchbox-app.com/400c5d63-9845-4c8f-9564-41448fdcf8b0.jpg
NFL Football '94 Starring Joe Montana,1993,3.75,n/a,Sports - Team - Football - Sim,"NFL Football '94 Starring Joe Montana, released as simply NFL Football '94 in Japan is a 1993 Sega Mega Drive/Genesis game which has a realistic running commentary that runs while the player engages himself in exhibition, regular season, or playoff action. It is fifth in the Joe Montana Football series and the fourth to be developed by BlueSky Software.",https://images.launchbox-app.com/c0188908-23b8-480a-9caa-a3acf751b6fc.jpg
Fatal Fury 2,1994,3.75,n/a,Action - Fighting - 2D,"Fatal Fury 2 is a 1992 fighting video game released by SNK for the Neo Geo arcade and home platforms, and later ported to several other home systems. It is a sequel to Fatal Fury: King of Fighters and the second game in the Fatal Fury franchise. Its updated version, Fatal Fury Special, was released in 1993.",https://images.launchbox-app.com/56088517-4818-4b93-b9fe-03a8827afb48.jpg
"
Golden Axe III",2007-10-22,3.75,n/a,Action - Beat-'Em-Up - 2D,"Golden Axe III (ゴールデンアックスIII Gooruden Akkusu Surī) is a side-scrolling beat 'em up video game developed and published by Sega, released for the Sega Mega Drive in Japan on June 25, 1993. A North American version was released only for the Sega Channel. The game was later re-released a number of times, as part of the Sega Genesis Collection for PlayStation 2 and PlayStation Portable, Sonic's Ultimate Genesis Collection for Xbox 360 and PlayStation 3, and digitally on the Wii Virtual Console.",https://images.launchbox-app.com/66d9d921-368f-4654-a39f-ae8c7e38e26c.jpg
Tiny Toon Adventures: ACME All-Stars,1994,3.75,n/a, Sports - General,Tiny Toon Adventures: ACME All-Stars is a Tiny Toon Adventures-based sports video game released on the Sega Genesis video game console. The game was developed and published by Konami in 1994,https://images.launchbox-app.com/1496ccc9-12d1-4f2a-a759-6dc41d5c991e.jpg
El Viento,1991,3.75,n/a,Action - Platformer - 2D,"El Viento (エル・ヴィエント Eru Viento, from Spanish meaning ""The Wind"") is a platform game developed and published by Wolf Team for the Sega Genesis game console in 1991. It is the second in a trilogy of games, which includes Earnest Evans and Anett Futatabi",https://images.launchbox-app.com/dfd92531-3e38-4e60-8a8d-24f88c348624.png
Sunset Riders,1992,3.74,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"unset Riders is a side-scrolling run and gun video game developed and released by Konami as a coin-operated video game on the JAMMA arcade platform in 1991. The game is set in the American Old West, where the player takes control of a bounty hunter who is seeking the rewards offered for various criminals. The coin-op version was released in two variants: a two-player version and a four-player version. Home console versions of Sunset Riders were released for the Sega Mega Drive (Genesis) in 1992 and for the Super Nintendo Entertainment System (Super Famicom) in 1993, to a positive reception",https://images.launchbox-app.com/44eb050a-c162-48a5-99c1-249167360eba.png
Earthworm Jim 2,1996,3.74,n/a,Action - Platformer - 2D,"Earthworm Jim 2 is a run and gun platform video game starring an earthworm named Jim in a robotic suit who battles evil. It is a sequel to the original Earthworm Jim, and the second and final game in the Earthworm Jim series developed by original creators Doug TenNapel, David Perry, and Shiny Entertainment. It was released in late 1995 and early 1996 depending on region and video game console, initially being released for the Sega Genesis and Super Nintendo, before being ported to other consoles.",https://images.launchbox-app.com/fc46e0d0-b369-49fe-8191-dbea0277da53.jpg
Super Fantasy Zone,2008-07-21,3.74,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Super Fantasy Zone (スーパーファンタジーゾーン Sūpā Fantajī Zōn) was the last addition to the Fantasy Zone series of video games and was released for the Sega Mega Drive. It was originally released in Europe and Japan but, for unknown reasons, not in the United States. However, North America would eventually receive the game in the form of a Virtual Console release on July 21, 2008",https://images.launchbox-app.com/03645e30-4ea6-48fc-9e23-568dc7563040.jpg
Samurai Shodown,1994,3.73,n/a,Action - Fighting - 2D,"Samurai Shodown (Samurai Spirits in Japan) is a fighting game series by SNK. In Japan, the name of the series is officially in katakana, but is often written in kanji (侍魂, samurai tamashii), with the second character pronounced supirittsu, ""spirits"", to better reflect the game's setting",https://images.launchbox-app.com/94a7de7c-715a-4591-9887-e58c9695de7f.jpg
"
Strider",1990,3.72,n/a, Action - Platformer - 2D,"Strider, released in Japan as Strider Hiryū (ストライダー飛竜 Sutoraidā Hiryū), is a 1989 side-scrolling platform game developed and released for the CP System arcade hardware by Capcom. Strider is a hack and slash platformer set in a dystopian future in the year 2048 and features a wide range of settings that dramatically affect gameplay.",https://images.launchbox-app.com/3a6e15d1-7a6c-4e44-99d8-3fdf2eff5a78.jpg
Bio-Hazard Battle,1992,3.72,n/a, Action - Shooter - Shoot-'Em-Up - Horizontal,"Bio-Hazard Battle, released in Japan as Crying: Aseimei Sensou (クライング 亜生命戦争), is a 1992 side-scrolling shoot 'em up released for the Sega Mega Drive/Genesis and for the Sega Mega Play arcade platform. On February 26, 2007, it was also made available on the Wii's Virtual Console. As of October 26, 2010, the game is available on Steam as well",https://images.launchbox-app.com/90c47bb5-24c7-426d-9ca5-1cda344dfa64.jpg
Golden Axe II,1991-12-26,3.72,n/a,Action - Beat-'Em-Up - 2D,"Golden Axe II (ゴールデンアックス II Gooruden Akkusu Tsū) is a side-scrolling beat 'em up video game developed and published by Sega, first released on the Sega Genesis in December 1991. It is the home console sequel to the popular game Golden Axe, marking the second game in the series, though the arcade did see a sequel of its own in 1992, titled Golden Axe: The Revenge of Death Adder. Golden Axe II was only released on the Mega Drive, while the original was released on many other platforms. The game later appeared in Sonic's Ultimate Genesis Collection for Xbox 360 and PlayStation 3, and as an iOS port on iTunes",https://images.launchbox-app.com/b2fd3e84-45dc-46be-8955-d4ecaf532a7e.jpg
Alisia Dragoon,1992-04-23,3.72,n/a,Action - Platformer - 2D,"Alisia Dragoon is a 1992 platform game developed by Game Arts for the Sega Genesis. The player controls Alisia, a young woman who is on a quest to avenge her father and save the world. She can fire lightning from her hands and summon four faithful beasts to aid her. The game was released outside Japan by Sega, who packaged the heroine as a rugged gladiator instead of the dainty-looking sorceress she originally was. Due to the lack of publicity for the game internationally, Alisia Dragoon did not make a big impact on the video game market, despite the critical acclaim it received.",https://images.launchbox-app.com/97d5d3f6-72b1-4012-88f1-65b859c13699.jpg
Rock 'N Roll Racing,1994,3.71,n/a,Racing - Arcade - Automobile,"Rock n' Roll Racing is a vehicular combat-based racing video game developed by Silicon & Synapse (now known as Blizzard Entertainment) and published by Interplay Productions for the Mega Drive/Genesis and the Super Nintendo Entertainment System in 1993. The game prominently features a number of popular heavy metal and rock songs in its soundtrack, hence the game's title. The game was ported to the Game Boy Advance in 2003.Rock n' Roll Racing was initially developed as RPMII, a sequel to the company's SNES game RPM Racing. At the end of the project, Interplay marketing added licensed music and changed the name to Rock n' Roll Racing. It is also similar in gameplay to Racing Destruction Set where it got its logic/AI engine and the NES game R.C. Pro-Am developed by Rare in 1988.",https://images.launchbox-app.com/62797c45-5b5b-464f-8bd6-71c4e7d5fd3c.jpg
"
Ultimate Mortal Kombat 3",1996-10-11,3.7,n/a,Action - Fighting - 2D,"Ultimate Mortal Kombat 3 (UMK3) is a fighting game in the Mortal Kombat series, developed and released by Midway to arcades in 1995. It is a standalone update of 1995's earlier Mortal Kombat 3 with an altered gameplay system, additional characters like the returning favorites Kitana and Scorpion who were missing from Mortal Kombat 3, and some new features.",https://images.launchbox-app.com/c6e6546f-2fda-4359-b472-a3aa333a7c12.jpg
Micro Machines,1993,3.7,n/a,Racing - Arcade - Automobile,"Micro Machines: The Original Scale Miniatures, also called Micro Machines or simply The Micros, are a line of toys originally made by Galoob (now part of Hasbro) in the mid-1980s and throughout the 1990s. Galoob licensed the idea behind Micro Machines from Clemens V. Hedeen & Patti Jo Hedeen, American toy inventors from Wisconsin. Micro Machines were tiny scale component style ""playsets"" and vehicles that were slightly larger than N scale. Early Micro Machines television commercials were famous for featuring actor John Moschitta Jr., who was (at the time) listed in the Guinness Book of World Records as the world's fastest talker",https://images.launchbox-app.com/cda54a77-5c4f-4f3b-be04-febec799095f.jpg
Shadow Dancer,1990,3.7,n/a,Action - Platformer - 2D,"Shadow Dancer (シャドー・ダンサー) is a side-scrolling action game produced by Sega originally released as an arcade game in 1989. It is the second and the final arcade game in the Shinobi series, following the original Shinobi itself. The player controls a ninja aided by an attack dog, who is fighting to save the city from a terrorist organization",https://images.launchbox-app.com/c174bed2-bf9c-49d6-82fa-85a1ddb4735d.jpg
Mercs,1991,3.7,n/a,Action - Shooter - Shoot-'Em-Up - Top-Down,"Mercs, originally released as Senjō no Ōkami II (戦場の狼Ⅱ Wolf of the Battlefield II), is a 1990 top-down run and gun arcade game developed and published by Capcom for the arcades. It is a followup to the 1985 Commando. It was followed by Wolf of the Battlefield: Commando 3 in 2008, a downloadable game.",https://images.launchbox-app.com/aaaeeb51-ebf8-4894-b7d9-8dd4d8e1c557.jpg
Valis III,1991,3.7,n/a,Action - Platformer - 2D,"Valis III (ヴァリスⅢ Varisu Surī) is a platform game developed by Telenet Japan and originally released for the PC Engine CD-ROM² in 1990 in Japan and the TurboGrafx-CD in 1992 in North America. It was also later ported to the Mega Drive/Genesis. Valis III is the third game in the Valis series and once again features the series' main protagonist Yuko as the lead character as she is also joined by her sister, Valna, and a young warrior named Cham who are new playable characters",https://images.launchbox-app.com/5412988f-cd6a-4b1e-aa35-52c420dafec1.jpg
NBA Live 95,1994,3.7,n/a,Sports - Team - Basketball - Sim,"NBA Live 95 is the sequel to NBA Showdown (video game), and the first ""NBA Live"" title in the NBA Live video games series from EA Sports. The cover featured an action shot from the 1994 NBA Finals. The game was published by EA Sports and released in October 1994. It introduced many elements that would become standard in the series, including the isometric on-court perspective, the ""T-meter"" for shooting free throws and the turbo button used to give players a temporary burst of speed. The game was re-released with NBA Live 06 as part of the EA Retro Series. Game Players gave the Super NES version of this video game its ""best sports game award"" in their Super NES division on the January 1995 issue of their magazine.",https://images.launchbox-app.com/6641ed25-2671-4360-861f-3a7d65c9f9d5.jpg
"
Steel Empire",1992-06-01,3.7,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Steel Empire (originally released as Koutetsu Teikoku (鋼鉄帝国) in Japan, and otherwise known in various English materials as The Steel Empire or Empire of Steel) is a side-scrolling shoot 'em up video game released on the Sega Genesis / Mega Drive home consoles in 1992. The game was later ported to the Game Boy Advance in 2004 and to the Nintendo 3DS in 2014.",https://images.launchbox-app.com/e5ffebb3-2b98-4882-8552-1ffedf94025d.jpg
Star Control,1991,3.69,n/a,Strategy - General,"Star Control: Famous Battles of the Ur-Quan Conflict, Volume IV or just simply Star Control is a science fiction video game developed by Toys for Bob and published by Accolade in 1990. It was originally released for Amiga and MS-DOS in 1990, followed by a Mega Drive/Genesis port in 1991. Simple ported versions were also released for the Commodore 64, Amstrad CPC and ZX Spectrum.",https://images.launchbox-app.com/3f68af2f-e377-4c8a-baa6-529d1a0c206d.jpg
Cannon Fodder,1994,3.69,n/a,Action - General,"Cannon Fodder is an action shoot 'em up game developed by Sensible Software and published by Virgin Interactive Entertainment for the Amiga in 1993. Virgin ported the game to home computer systems MS-DOS, the Atari ST and the Archimedes, and the consoles Jaguar, Mega Drive, SNES and 3DO. The game is military-themed and based on shooting action with squad-based tactics. The player directs troops through numerous missions, battling enemy infantry, vehicles and installations.",https://images.launchbox-app.com/ea29277a-a87f-4b7e-848d-98ce7a3ca60d.jpg
Light Crusader,1995-05-25,3.69,n/a,Role-Playing - Action RPG,"Light Crusader (ライト クルセイダー) is an action-adventure game developed by Treasure and published by Sega for their Sega Genesis console in 1995. It was ported to Microsoft Windows in 2010. It is similar in gameplay to Landstalker: The Treasures of King Nole, blending role-playing video game, action-adventure and platform video game elements in much the same way",https://images.launchbox-app.com/ebf8fd3a-11e5-46d0-8581-47345d32b477.jpg
Pier Solar and the Great Architects,2010-12-15,3.69,n/a,Role-Playing - Japanese-Style,"Pier Solar and the Great Architects is a homebrew role-playing video game developed and published by WaterMelon for the Sega Genesis. The game was released worldwide on December 20, 2010. The game optionally utilizes the Sega CD expansion device to enhance its audio capabilities",https://images.launchbox-app.com/a53ccdff-115f-4cd4-9e93-7f48698bc53f.jpg
Snow Bros,1993-05-28,3.69,n/a,Action - Platformer - 2D,Snow Bros. is a 1990 platform arcade game released in 1990 by Toaplan,https://images.launchbox-app.com/af43e2b1-0eed-4822-b2ac-ce56f171c903.jpg
"
NHL Hockey",1991,3.69,n/a,Sports - Team - Ice Hockey - Sim,"NHL is a series of professional ice hockey simulation video games developed by EA Canada and published yearly by Electronic Arts under the EA Sports brand. The game is developed under license from the National Hockey League (NHL), which enables the use of the league's team names, stadiums and colors in the game, and the National Hockey League Players' Association (NHLPA), which enables the use of the League's player names and likenesses.",https://images.launchbox-app.com/0c0bdb93-acaa-4bca-af71-96981fa6dfcc.jpg
McDonald's Treasure Land Adventure,1993,3.68,n/a,Action - Platformer - 2D,"McDonald's Treasure Land Adventure is a platform video game created by Treasure for the Mega Drive/Genesis. Based on the McDonald's fast food franchise and four of its corporate mascots from McDonaldland (Ronald McDonald, Hamburglar, Grimace, and Birdie the Early Bird), the game follows the adventures of Ronald McDonald in an attempt to find four pieces of a treasure map, and ultimately, the treasure to which it leads",https://images.launchbox-app.com/aa049065-6ac6-4ba5-86f1-525e7c8c5335.jpg
"
Desert Strike: Return to the Gulf",1992-06-04,3.68,n/a,Action - Shooter - Shoot-'Em-Up - Top-Down,"Desert Strike: Return to the Gulf is a shoot 'em up video game released by Electronic Arts (EA) in February 1992 for the Sega Genesis. The game was released on several other formats such as the Super Nintendo Entertainment System, including a much upgraded version for the Amiga home computer. The game was inspired by the Gulf War and depicts a conflict between an insane Middle Eastern dictator, General Kilbaba, and the United States. The player controls an Apache helicopter and attempts to destroy enemy weapons and installations, rescue hostages and capture enemy personnel, while managing supplies of fuel and ammunition",https://images.launchbox-app.com/f8301724-414c-4db9-9852-f24edc54f52b.jpg
NHL 96,1995,3.67,n/a,Sports - Team - Ice Hockey - Sim,"NHL 96 is a 1995 sports video game developed by EA Tiburon for the SNES, High Score Productions for the Sega Genesis, EA Canada for DOS, and Probe Entertainment for the Game Boy. EA Sports published all versions of the game except the Game Boy version, which was published by THQ. The game is based on the sport of ice hockey and puts the player in control of a hockey team in modes of play such as exhibitions, seasons and playoffs. It is the fifth installment in the NHL game series.",https://images.launchbox-app.com/5da85c8e-589a-4fa3-9c0f-77698f5a0cd4.jpg
OutRun,1991,3.67,n/a,Racing - Arcade - Automobile,"Out Run (also stylized as OutRun) is an arcade game released by Sega in September 1986. It is known for its pioneering hardware and graphics and innovative features such as nonlinear gameplay and a selectable soundtrack with music composed by Hiroshi Kawaguchi. Designed as a racing game where the goal is to avoid traffic and reach one of five destinations, Out Run was set up for players to enjoy the experience of driving",https://images.launchbox-app.com/28d842ee-abfe-4653-965e-7bd071b441e2.jpg
Puggsy,1993,3.67,n/a,Action - Platformer - 2D,"Puggsy is a 1993 puzzle-platform video game developed by Traveller's Tales and released by Psygnosis on Mega Drive and Mega-CD consoles, and on the Amiga home computer. Puggsy is the name of the title character, an orange space hopper-like alien who landed his spaceship on The Planet, intending to return home until his spaceship was stolen by the raccoon natives of the planet.

",https://images.launchbox-app.com/4135a7c0-f145-47df-be4b-d957e4e27a79.jpg
